.	NZ-1
category	tag system
antigen	PAtag
name	NZ-1
animal	rat
isotype	IgG2a lambda
description	PAtagシステム（ペプチドタグシステム）に使用するモノクローナル抗体。
application	タンパク質精製、IP、IHC, WB, FACSなど、すべての実験に有用。タンパク質精製については、<a href="https://www.ncbi.nlm.nih.gov/pubmed/?term=26872787+24480187" target="_blank">Fujii et al., PEP2014; Fujii et al., JCS2016</a>の２報で詳述。さらに、<a href="http://www.pssj.jp/archives/protocol/purification/affinity_02/affinity_02.html" target="_blank">蛋白質科学会アーカイブ</a>でプロトコールを解説。WBについては、複数の論文で使用例あり。
pubmed_id	24480187|26872787|16979138|17222411|17616532|17944973|18697734|18707544|20482880|20870153|22283975|22816430|23115013|23690472|25080943|25458834|25826087|26822025|23376717|23524262|26381180|25753205|24403254|24898068|24328739|27788029|28446613|28393893|26902720
reference	[//www.pssj.jp/archives/protocol/purification/affinity_02/affinity_02.html](PSSJ-archive)
contact	kato_tohoku
supplier	[http://www.wako-chem.co.jp/siyaku/product/life/PA_tag/index.htm]($wako)

.	PMab-1::MAPtag
category	tag system
antigen	MAPtag
name	PMab-1
animal	rat
isotype	IgG2a kappa
description	MAPtagシステム（ペプチドタグシステム）に使用するモノクローナル抗体。
application	タンパク質精製、IP、IHC, WB, FACSなど、すべての実験に有用。WBについては、PAtagよりも感度が高い。MAPtag抗体はヒト細胞株に反応しないため、膜タンパク質の解析に威力を発揮する。タンパク質精製については、<a href="https://www.ncbi.nlm.nih.gov/pubmed/27801621" target="_blank">Fujii et al., MAB2016</a>で詳述。
pubmed_id	27801621|27267652|27380308|27564251|29998193
reference	[http://www.med-tohoku-antibody.com/link/118.htm](press release)
contact	kato_tohoku
supplier	[https://absoluteantibody.com/product/anti-map-tag-pmab-1/](absolute antibody)

.	PMab-2::RAPtag
category	tag system
antigen	RAPtag
name	PMab-2
animal	mouse
isotype	IgG1 kappa
description	RAPtagシステム（ペプチドタグシステム）に使用するモノクローナル抗体。
application	タンパク質精製、IP、IHC, WB, FACSなど、すべての実験に有用。anti-RAP tag抗体はマウス抗体のため、二次抗体としてanti-mouse IgGを使いたい場合には有用性が高い。タンパク質精製については、<a href="https://www.ncbi.nlm.nih.gov/pubmed/28339303" target="_blank">Fujii et al., MAB2017</a>で詳述。
pubmed_id	27801621|27267652|27380308|26683179|28339303|30088964
reference	[http://www.med-tohoku-antibody.com/link/119.htm](press release)
